Time (minutes),Latency (smooth)
311.6833333,23.3812011
312.0166667,23.39032825
312.35,23.36857237
312.6833333,23.41069818
313.0166667,23.57020019
313.35,23.51521882
313.6833333,23.51294141
314.0166667,23.81300316
314.35,23.38475023
314.6833333,23.34753531
315.0166667,23.36073611
315.35,23.34211323
315.6833333,23.38471687
316.0166667,23.07697064
316.35,23.07406613
316.6833333,23.07281193
317.0166667,23.3657771
317.35,23.37038946
317.6833333,23.44353506
318.0166667,23.46192778
318.35,23.44695076
318.6833333,23.49054592
319.0166667,23.01998705
319.35,23.05411316
319.6833333,23.05859042
320.0166667,23.34229919
320.35,23.35122703
320.6833333,22.91466752
321.0166667,22.9321788
321.35,22.92079259
321.6833333,23.14908636
322.0166667,23.15538905
322.35,23.18932586
322.6833333,23.19487637
323.0166667,23.29042831
323.35,23.32835788
323.6833333,22.89192595
324.0166667,22.9171901
324.35,22.90948227
324.6833333,23.22645822
325.0166667,23.22983055
325.35,22.8264098
325.6833333,22.83476391
326.0166667,22.81316897
326.35,22.85367449
326.6833333,22.85058736
327.0166667,22.87528027
327.35,22.86934783
327.6833333,23.18932336
328.0166667,23.19503648
328.35,22.7916224
328.6833333,22.80246323
329.0166667,22.78309983
329.35,22.82217854
329.6833333,22.81953504
330.0166667,22.85557581
330.35,22.85312244
330.6833333,23.1726168
331.0166667,23.17991852
331.35,22.76322525
331.6833333,22.78137614
332.0166667,22.76771669
332.35,22.95387381
332.6833333,22.95483864
