NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
594,49,1,188
594,50,1,189
594,51,1,189
594,52,1,174
594,53,1,185
594,54,1,183
594,55,1,184
594,56,1,192
594,57,1,189
594,58,1,175
594,59,1,158
594,60,1,158
594,61,1,184
594,62,1,170
594,63,1,199
594,64,1,178
594,65,1,198
594,66,1,175
594,67,1,182
594,68,1,191
594,69,1,178
594,70,1,195
594,71,1,193
594,72,1,189
594,73,1,183
594,74,1,170
594,75,1,186
594,76,1,170
594,77,1,184
594,78,1,173
594,79,1,192
594,80,1,169
594,81,1,207
594,82,1,165
594,83,1,177
594,84,1,170
594,85,1,177
594,86,1,174
594,87,1,176
594,88,1,169
594,89,1,177
594,90,1,192
594,91,1,184
594,92,1,174
594,93,1,158
594,94,1,187
594,95,1,166
594,96,1,187
594,97,1,169
594,98,1,177
594,99,1,180
528,0,1,188
528,1,1,219
528,2,1,182
528,3,1,211
528,4,1,206
528,5,1,171
528,6,1,189
528,7,1,195
528,8,1,210
